URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/opportunity-for-certified/6618162573.html,Opportunity for Certified Construction Manager,
https://newyork.craigslist.org/stn/egr/d/electrical-estimator-needed/6618162505.html,Electrical estimator needed,Staten Island
https://newyork.craigslist.org/brk/egr/d/mechanical-engineer/6618145465.html,MECHANICAL ENGINEER,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/entry-level-experienced-revit/6618107768.html,Entry Level / Experienced Revit Draftspersons.,Midtown West
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6618084274.html,Facade / Building Envelope Project Architect or Engineer,TriBeCa
https://newyork.craigslist.org/jsy/egr/d/mechanical-engineer/6618070017.html,Mechanical Engineer,New Jersey
https://newyork.craigslist.org/mnh/egr/d/architecture-design-and/6618013635.html,"Architecture, design and construction company summer internship",Midtown West
https://newyork.craigslist.org/que/egr/d/construction-inspector/6617990387.html,Construction Inspector,Maspeth
https://newyork.craigslist.org/brx/egr/d/hvac-estimator-bronx-needed/6617989241.html,HVAC ESTIMATOR (Bronx) Needed Immediately,Bronx
https://newyork.craigslist.org/mnh/egr/d/hvac-engineers/6617988806.html,HVAC ENGINEERS,Midtown
https://newyork.craigslist.org/que/egr/d/draftsman/6617940425.html,Draftsman,
https://newyork.craigslist.org/que/egr/d/junior-estimator/6617921740.html,Junior Estimator,Astoria office
https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6617757947.html,Draftsperson Detailer,Long Island City
https://newyork.craigslist.org/brk/egr/d/drafter-wanted-full-time/6617741457.html,Drafter wanted - full time,Greenpoint/Brooklyn
https://newyork.craigslist.org/mnh/egr/d/worker-to-management-apm-at/6617733691.html,WORKER TO MANAGEMENT: APM at Facade Restoration GC,East Harlem
https://newyork.craigslist.org/mnh/egr/d/project-architect/6617685096.html,Project Architect,Flatiron
https://newyork.craigslist.org/que/egr/d/land-surveyor/6617481598.html,LAND SURVEYOR,NEW YORK
https://newyork.craigslist.org/que/egr/d/project-architects/6617365668.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/architectural-project-manager/6617214554.html,ARCHITECTURAL PROJECT MANAGER,Midtown West
https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-real/6617209838.html,PROJECT ASSISTANT for Real Estate focused Digital Agency,TriBeCa
https://newyork.craigslist.org/lgi/egr/d/kitchen-and-bath-designer/6617091301.html,Kitchen and Bath Designer,"Greenvale, NY"
https://newyork.craigslist.org/jsy/egr/d/autocad-assistance/6617069351.html,AutoCAD assistance,Rahway
https://newyork.craigslist.org/wch/egr/d/drafter/6617027558.html,Drafter,White Plains
https://newyork.craigslist.org/que/egr/d/use-lego-to-teach-kids/6617005218.html,Use LEGO® to teach kids engineering concepts!,
https://newyork.craigslist.org/mnh/egr/d/intermediate-junior/6616926677.html,Intermediate Junior Architectural Designer,Midtown
https://newyork.craigslist.org/mnh/egr/d/architect/6616798950.html,Architect,NEW YORK
https://newyork.craigslist.org/wch/egr/d/project-manager-estimator/6616783796.html,Project Manager/Estimator,
https://newyork.craigslist.org/brk/egr/d/construction-admin-project/6616424726.html,Construction Admin / Project Asst,
https://newyork.craigslist.org/lgi/egr/d/construction-superintendent/6616350461.html,"Construction Superintendent,  Long Island NY",
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/6616318656.html,Architectural drafter,
https://newyork.craigslist.org/mnh/egr/d/jr-architect-revit/6616272727.html,Jr Architect- Revit,TriBeCa
https://newyork.craigslist.org/brk/egr/d/industrial-designer/6616227031.html,INDUSTRIAL DESIGNER/MECHANICAL ENGINEER /JUNIOR DRAFTSMAN,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/clean-energy-engagement/6616214754.html,CLEAN ENERGY ENGAGEMENT SPECIALIST,Midtown
https://newyork.craigslist.org/mnh/egr/d/senior-analytics-consultant/6616206898.html,SENIOR ANALYTICS CONSULTANT,Midtown
https://newyork.craigslist.org/que/egr/d/jr-estimator-drafter-role/6616168765.html,Jr Estimator/Drafter role,"Long Island City, NY"
https://newyork.craigslist.org/mnh/egr/d/architect-field-representative/6616168109.html,Architect field representative,Flatiron
https://newyork.craigslist.org/mnh/egr/d/senior-architect-for-boutique/6616126370.html,Senior Architect for boutique office,Chelsea
https://newyork.craigslist.org/mnh/egr/d/junior-architect-or-student/6616079637.html,Junior Architect or Student,Upper West Side
https://newyork.craigslist.org/wch/egr/d/architect/6616050851.html,Architect,Rye
https://newyork.craigslist.org/stn/egr/d/junior-architect-recent-grad/6616017086.html,Junior Architect | Recent Grad!,"Staten Island, New York"
https://newyork.craigslist.org/mnh/egr/d/commissioning-retro/6615838254.html,Commissioning / Retro Commissioning Leader,New York City
https://newyork.craigslist.org/mnh/egr/d/entry-to-mid-level-architect/6615805486.html,Entry to Mid Level Architect or Designer,Midtown
https://newyork.craigslist.org/mnh/egr/d/heavy-construction-site/6615505800.html,Heavy Construction Site Safety Auditor in NYC area,New York
https://newyork.craigslist.org/mnh/egr/d/architectural-job-captain/6614942771.html,Architectural Job Captain,Midtown West
https://newyork.craigslist.org/mnh/egr/d/job-captain-intermediate/6614916512.html,Job Captain / Intermediate Architect - Immediate Hire!,Flatiron
https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6614842803.html,Electrical Engineer,Manhattan
https://newyork.craigslist.org/mnh/egr/d/engineering-service/6614797877.html,(Engineering  Service ) -   Electrical  design Freelance,Midtown
